round,loss,accuracy,alpha0,method,repetition
45,1.58814,0.58875,0.5,fedasync,8
46,1.39778,0.63625,0.5,fedasync,8
47,1.37067,0.625,0.5,fedasync,8
48,2.03868,0.53125,0.5,fedasync,8
49,1.12919,0.695,0.5,fedasync,8
50,1.06194,0.695,0.5,fedasync,8
51,1.18065,0.68125,0.5,fedasync,8
52,0.83069,0.765,0.5,fedasync,8
53,1.04266,0.70375,0.5,fedasync,8
54,1.25239,0.665,0.5,fedasync,8
55,0.85529,0.76,0.5,fedasync,8
56,0.78797,0.75,0.5,fedasync,8
57,0.80738,0.755,0.5,fedasync,8
58,1.27483,0.655,0.5,fedasync,8
59,1.2395,0.68125,0.5,fedasync,8
60,0.94671,0.7475,0.5,fedasync,8
61,1.40295,0.66625,0.5,fedasync,8
62,1.82278,0.6125,0.5,fedasync,8
63,1.4774,0.67125,0.5,fedasync,8
64,1.12899,0.71125,0.5,fedasync,8
65,1.48481,0.635,0.5,fedasync,8
66,1.25778,0.70875,0.5,fedasync,8
67,1.35856,0.67125,0.5,fedasync,8
68,1.71204,0.61875,0.5,fedasync,8
69,1.45043,0.68,0.5,fedasync,8
70,1.53047,0.65875,0.5,fedasync,8
71,1.66638,0.6525,0.5,fedasync,8
72,1.25426,0.69125,0.5,fedasync,8
73,0.96829,0.75625,0.5,fedasync,8
74,0.74362,0.7775,0.5,fedasync,8
75,1.08373,0.7075,0.5,fedasync,8
76,0.85026,0.7675,0.5,fedasync,8
77,1.01961,0.74625,0.5,fedasync,8
78,1.24197,0.7025,0.5,fedasync,8
79,1.06264,0.7575,0.5,fedasync,8
80,1.85239,0.635,0.5,fedasync,8
81,1.13621,0.74625,0.5,fedasync,8
82,0.98356,0.75125,0.5,fedasync,8
83,1.24132,0.70875,0.5,fedasync,8
84,1.36348,0.6675,0.5,fedasync,8
85,1.74953,0.62625,0.5,fedasync,8
86,2.25428,0.5675,0.5,fedasync,8
87,2.63742,0.545,0.5,fedasync,8
88,1.94137,0.64875,0.5,fedasync,8
89,1.06066,0.73875,0.5,fedasync,8
90,1.35175,0.685,0.5,fedasync,8
91,1.20222,0.7125,0.5,fedasync,8
92,1.55894,0.665,0.5,fedasync,8
93,1.93597,0.60875,0.5,fedasync,8
94,2.19233,0.58125,0.5,fedasync,8
95,1.77111,0.65125,0.5,fedasync,8
96,1.33211,0.69625,0.5,fedasync,8
97,1.71125,0.63125,0.5,fedasync,8
98,1.05832,0.72875,0.5,fedasync,8
99,1.24065,0.7125,0.5,fedasync,8
100,1.60679,0.65875,0.5,fedasync,8
101,2.02129,0.62,0.5,fedasync,8
102,2.35251,0.60625,0.5,fedasync,8
103,1.73217,0.64125,0.5,fedasync,8
104,2.05957,0.62625,0.5,fedasync,8
105,2.3873,0.60875,0.5,fedasync,8
106,1.40701,0.7025,0.5,fedasync,8
107,1.38479,0.7075,0.5,fedasync,8
108,0.92001,0.76125,0.5,fedasync,8
109,1.97409,0.61125,0.5,fedasync,8
110,1.28665,0.6875,0.5,fedasync,8
111,1.90286,0.63,0.5,fedasync,8
112,2.50785,0.5725,0.5,fedasync,8
113,1.32039,0.70125,0.5,fedasync,8
114,1.66151,0.6425,0.5,fedasync,8
115,1.39452,0.72125,0.5,fedasync,8
116,1.19984,0.73375,0.5,fedasync,8
117,1.61974,0.67125,0.5,fedasync,8
118,1.07837,0.7475,0.5,fedasync,8
119,0.94661,0.76625,0.5,fedasync,8
120,1.27081,0.72125,0.5,fedasync,8
121,1.57308,0.67125,0.5,fedasync,8
122,1.10355,0.73,0.5,fedasync,8
123,0.87631,0.77375,0.5,fedasync,8
124,1.33674,0.70625,0.5,fedasync,8
125,1.25505,0.7175,0.5,fedasync,8
126,1.47189,0.69375,0.5,fedasync,8
127,1.18808,0.71875,0.5,fedasync,8
128,1.21431,0.7225,0.5,fedasync,8
129,1.41386,0.69875,0.5,fedasync,8
130,1.75453,0.6625,0.5,fedasync,8
131,2.13963,0.64,0.5,fedasync,8
132,1.94577,0.645,0.5,fedasync,8
133,1.35908,0.71875,0.5,fedasync,8
134,1.22171,0.7475,0.5,fedasync,8
135,1.26513,0.73,0.5,fedasync,8
136,1.56281,0.6825,0.5,fedasync,8
137,1.34114,0.7175,0.5,fedasync,8
138,1.76846,0.6675,0.5,fedasync,8
139,1.23874,0.7325,0.5,fedasync,8
140,1.45413,0.69375,0.5,fedasync,8
141,1.12517,0.7375,0.5,fedasync,8
142,1.31189,0.69375,0.5,fedasync,8
143,1.61305,0.6675,0.5,fedasync,8
144,1.02229,0.765,0.5,fedasync,8
145,0.96564,0.77625,0.5,fedasync,8
146,1.52183,0.68,0.5,fedasync,8
147,2.29963,0.59625,0.5,fedasync,8
148,1.22755,0.73375,0.5,fedasync,8
149,0.82665,0.79125,0.5,fedasync,8
150,1.46108,0.70125,0.5,fedasync,8
1,3.84972,0.19125,0.9,fedasync,8
2,5.08656,0.2025,0.9,fedasync,8
3,3.15618,0.19875,0.9,fedasync,8
4,3.92197,0.1875,0.9,fedasync,8
5,2.67362,0.36125,0.9,fedasync,8
6,4.41786,0.2925,0.9,fedasync,8
7,2.80789,0.32375,0.9,fedasync,8
8,4.37535,0.29125,0.9,fedasync,8
9,2.73157,0.25,0.9,fedasync,8
10,2.83901,0.23375,0.9,fedasync,8
11,2.3757,0.3225,0.9,fedasync,8
12,2.73951,0.50625,0.9,fedasync,8
13,3.30656,0.47875,0.9,fedasync,8
14,3.29471,0.40125,0.9,fedasync,8
15,2.75063,0.32375,0.9,fedasync,8
16,3.45406,0.295,0.9,fedasync,8
17,2.70554,0.27,0.9,fedasync,8
18,3.31249,0.365,0.9,fedasync,8
19,2.71923,0.48625,0.9,fedasync,8
20,2.75343,0.35625,0.9,fedasync,8
21,2.59637,0.46875,0.9,fedasync,8
22,2.40488,0.45125,0.9,fedasync,8
23,3.19711,0.3325,0.9,fedasync,8
24,2.34457,0.53375,0.9,fedasync,8
25,2.85899,0.44875,0.9,fedasync,8
26,3.14378,0.4125,0.9,fedasync,8
27,2.48742,0.52375,0.9,fedasync,8
28,2.50652,0.4525,0.9,fedasync,8
29,2.54526,0.46125,0.9,fedasync,8
30,3.12011,0.43,0.9,fedasync,8
31,2.77792,0.42,0.9,fedasync,8
32,2.23546,0.4675,0.9,fedasync,8
33,2.67042,0.49125,0.9,fedasync,8
34,2.83285,0.4425,0.9,fedasync,8
35,2.61768,0.50875,0.9,fedasync,8
36,2.66516,0.36875,0.9,fedasync,8
37,3.21173,0.3325,0.9,fedasync,8
38,3.81976,0.32125,0.9,fedasync,8
39,4.49432,0.3075,0.9,fedasync,8
40,5.01685,0.3,0.9,fedasync,8
41,3.08857,0.535,0.9,fedasync,8
42,2.98209,0.4725,0.9,fedasync,8
43,2.43366,0.47125,0.9,fedasync,8
44,2.97332,0.45,0.9,fedasync,8
45,3.31834,0.4,0.9,fedasync,8
46,3.65072,0.43875,0.9,fedasync,8
47,3.28896,0.36875,0.9,fedasync,8
48,3.97301,0.345,0.9,fedasync,8
49,2.29995,0.5675,0.9,fedasync,8
50,2.47783,0.50875,0.9,fedasync,8
51,2.95769,0.5075,0.9,fedasync,8
52,2.35621,0.5725,0.9,fedasync,8
53,2.4728,0.51375,0.9,fedasync,8
54,2.79357,0.51875,0.9,fedasync,8
55,2.99525,0.43375,0.9,fedasync,8
56,2.36983,0.59125,0.9,fedasync,8
57,2.41659,0.545,0.9,fedasync,8
58,2.78731,0.515,0.9,fedasync,8
59,2.50215,0.4625,0.9,fedasync,8
60,2.63639,0.5075,0.9,fedasync,8
61,3.24269,0.44375,0.9,fedasync,8
62,3.4901,0.435,0.9,fedasync,8
63,2.91646,0.41,0.9,fedasync,8
64,2.93274,0.4275,0.9,fedasync,8
65,3.46024,0.405,0.9,fedasync,8
66,2.81236,0.5325,0.9,fedasync,8
67,2.77262,0.5,0.9,fedasync,8
68,3.22943,0.4625,0.9,fedasync,8
69,2.81095,0.555,0.9,fedasync,8
70,2.63858,0.52625,0.9,fedasync,8
71,2.78842,0.5825,0.9,fedasync,8
72,3.75141,0.44875,0.9,fedasync,8
73,2.68676,0.54625,0.9,fedasync,8
74,2.40263,0.59375,0.9,fedasync,8
75,2.87745,0.475,0.9,fedasync,8
76,3.01886,0.5575,0.9,fedasync,8
77,2.80786,0.45875,0.9,fedasync,8
78,3.16998,0.53625,0.9,fedasync,8
79,2.70239,0.49125,0.9,fedasync,8
80,3.28338,0.4725,0.9,fedasync,8
81,2.55208,0.56375,0.9,fedasync,8
82,2.25212,0.585,0.9,fedasync,8
83,3.29489,0.48125,0.9,fedasync,8
84,2.86731,0.5075,0.9,fedasync,8
85,3.42934,0.48625,0.9,fedasync,8
86,3.68376,0.47125,0.9,fedasync,8
87,3.79466,0.46,0.9,fedasync,8
88,2.81785,0.53125,0.9,fedasync,8
89,2.31553,0.5375,0.9,fedasync,8
90,3.18305,0.47,0.9,fedasync,8
91,1.70682,0.57125,0.9,fedasync,8
92,3.13425,0.54375,0.9,fedasync,8
93,3.70221,0.49625,0.9,fedasync,8
94,3.8071,0.49,0.9,fedasync,8
95,2.19042,0.57875,0.9,fedasync,8
96,2.46904,0.53875,0.9,fedasync,8
97,2.93885,0.50625,0.9,fedasync,8
98,2.51347,0.61,0.9,fedasync,8
99,2.84392,0.6275,0.9,fedasync,8
100,2.5689,0.59375,0.9,fedasync,8
101,3.25601,0.5725,0.9,fedasync,8
102,3.29374,0.58125,0.9,fedasync,8
103,2.21727,0.57625,0.9,fedasync,8
104,3.20243,0.57375,0.9,fedasync,8
105,3.31754,0.57375,0.9,fedasync,8
106,3.28643,0.55875,0.9,fedasync,8
107,3.04572,0.56125,0.9,fedasync,8
108,3.01118,0.5125,0.9,fedasync,8
109,3.55051,0.4925,0.9,fedasync,8
110,2.66706,0.5575,0.9,fedasync,8
111,3.48814,0.50125,0.9,fedasync,8
112,3.56459,0.49875,0.9,fedasync,8
113,2.44364,0.62,0.9,fedasync,8
114,3.32529,0.545,0.9,fedasync,8
115,2.72192,0.55,0.9,fedasync,8
116,2.54215,0.52875,0.9,fedasync,8
